Order ID,Customer Name,City,Category,Product Name,Quantity,Unit Price,Order Date,Payment Mode,Discount %,Returned
33,Suresh,Pune,,Product-8,3,200,27-03-2024,UPI,10%,Yes
34,Divya,,Clothing,Product-8,2,100,15-03-2024,upi,15,YES
35,Kiran,Pune,GROCERIES,Product-18,3,100,18-03-2024,Card,10,
36,Ravi,Chennai,electronics,Product-11,4,250,07-05-2024,UPI,10%,
37,Rahul,Bangalore,electronics,Product-18,two,,08-04-2023,,10,YES
38,Meena,Pune,GROCERIES,Product-10,5,300,09-08-2023,Card,10%,YES
39,Rahul,Kolkata,GROCERIES,Product-6,5,250,11-10-2023,CASH,5,YES
40,Meena,,Furniture,Product-7,5,450,27-05-2023,,10,Yes
41,Meena,Chennai,,Product-8,two,300,26-05-2023,Cash,10,Yes
42,,Chennai,Furniture,Product-19,2,,24-01-2023,upi,10%,No
43,Ravi,Chennai,,Product-6,,,17-03-2023,UPI,,No
44,,Hyderabad,,Product-17,5,250,14-04-2024,upi,,
45,,,Groceries,Product-16,4,300,07-08-2023,,15,
46,Kiran,,Electronics,Product-8,3,300,06-09-2023,CASH,5,No
47,Suresh,Mumbai,Electronics,Product-11,5,450,19-03-2023,Cash,10%,NO
48,Ravi,Kolkata,Furniture,,3,300,08-04-2024,upi,,
49,Divya,,Groceries,Product-16,1,450,14-02-2024,,10%,No
50,Suresh,Bangalore,Furniture,Product-1,1,,06-03-2024,upi,10,Yes
51,Divya,,Clothing,Product-13,3,450,14-05-2023,UPI,10%,Yes
52,Meena,Mumbai,GROCERIES,,two,100,19-01-2024,Cash,10,Yes
53,Suresh,,GROCERIES,Product-7,4,,15-11-2023,Card,10,
54,Anita,Hyderabad,Clothing,Product-1,3,250,07-11-2023,upi,10%,No
55,Divya,Chennai,GROCERIES,Product-20,,100,08-02-2023,CASH,5,YES
56,Meena,Chennai,electronics,Product-1,,450,30-09-2023,UPI,10%,YES
57,,Hyderabad,Furniture,Product-17,two,300,22-11-2023,CASH,10%,NO
58,Kiran,Pune,,Product-3,3,450,12-08-2023,upi,,
59,Ravi,,,Product-16,2,300,09-12-2023,Card,15,
60,,Bangalore,electronics,Product-3,2,,26-12-2023,CASH,10,NO
61,,Bangalore,Electronics,Product-13,two,200,27-11-2023,CASH,15,NO
62,Rahul,Pune,Clothing,Product-9,3,300,11-10-2023,,10,YES
63,Suresh,Mumbai,Groceries,Product-9,two,250,03-03-2023,CASH,,YES
64,Kiran,Mumbai,Clothing,Product-1,two,250,21-02-2023,UPI,5,
65,Suresh,,Electronics,Product-19,3,450,30-05-2023,Card,10,Yes
66,,Chennai,,,4,100,10-05-2023,,5,No
67,Kiran,Chennai,Groceries,Product-14,5,250,18-03-2023,Cash,,NO
68,Kiran,Kolkata,Clothing,Product-2,5,,19-08-2023,Cash,10,YES
69,Divya,Hyderabad,electronics,,1,450,05-12-2023,CASH,10%,YES
70,Kiran,,Electronics,Product-9,,,17-01-2023,Cash,10%,Yes
71,Suresh,Delhi,,Product-2,2,300,06-10-2023,CASH,15,NO
72,Kiran,Kolkata,Clothing,Product-16,4,100,05-03-2023,upi,15,
,Divya,Bangalore,,Product-9,5,100,09-05-2023,Cash,10%,
74,Kiran,Hyderabad,electronics,Product-16,1,450,30-11-2023,Card,15,Yes
75,Rahul,,Clothing,Product-13,,250,15-03-2024,UPI,15,YES
76,Rahul,Bangalore,GROCERIES,Product-15,4,100,15-06-2023,Card,,NO
77,Ravi,Mumbai,Clothing,Product-10,4,,17-11-2023,UPI,,No
78,,Bangalore,electronics,Product-8,,100,30-12-2023,UPI,10,NO
79,,Delhi,Furniture,Product-16,2,450,22-04-2024,upi,10,
80,Suresh,Chennai,Clothing,Product-14,3,250,18-09-2023,UPI,15,YES
81,,Hyderabad,Furniture,Product-12,3,250,04-03-2024,upi,10%,YES
82,Divya,Kolkata,Groceries,Product-14,1,300,21-03-2024,,10%,NO
83,Suresh,,Electronics,Product-19,3,100,06-12-2023,upi,5,
84,Suresh,Kolkata,,Product-5,1,450,11-04-2024,Card,15,
85,Anita,Pune,,Product-18,4,300,21-12-2023,upi,,Yes
86,Kiran,Mumbai,GROCERIES,Product-4,,,13-11-2023,UPI,10%,No
87,Ravi,Bangalore,Clothing,Product-10,3,300,22-12-2023,Cash,,NO
88,Suresh,Hyderabad,Groceries,,,450,17-10-2023,Cash,10%,
89,Kiran,,Clothing,Product-15,3,,15-03-2023,UPI,10%,YES
90,Rahul,Delhi,Furniture,Product-7,4,450,28-10-2023,upi,,YES
91,Kiran,Bangalore,,Product-9,1,250,22-10-2023,,5,
92,Kiran,Mumbai,electronics,Product-8,two,200,17-01-2024,,10,Yes
93,Ravi,Delhi,,Product-19,3,,07-04-2024,Card,15,NO
94,,Pune,electronics,Product-9,,200,31-03-2023,upi,15,YES
95,Anita,Hyderabad,,Product-13,,250,16-02-2024,upi,5,YES
96,Meena,Delhi,electronics,Product-12,1,,02-10-2023,UPI,,
97,Divya,Chennai,GROCERIES,Product-10,two,450,17-06-2023,UPI,5,YES
98,Divya,Hyderabad,Furniture,Product-18,4,250,10-09-2023,Cash,10%,Yes
99,Rahul,Delhi,Electronics,Product-7,4,450,02-03-2024,Card,5,YES
100,Meena,Bangalore,Furniture,Product-4,,450,06-10-2023,Cash,,Yes
