Student_ID,Student_Name,Department,Enrollment_Date,Attendance,Internal_Marks,External_Marks,Final_Grade,Result_Status,Scholarship
STU-1058,Meena,civil,01-07-2023,75,45,,A,FAIL,
STU-1059,Aarav,ECE,01-07-2023,,38,55,A+,,YES 
STU-1060,Kiran,civil,,75,,,,pass ,YES 
STU-1061,Kiran,civil,01-07-2023,seventy,45,60,C,,No
STU-1062,divya ,computer science ,01-06-2023,,,60,,FAIL,No
STU-1063,Aarav,computer science ,01-06-2023,85%,forty,55,B,Pass,Yes
STU-1064,divya ,Computer Science,,90%,,,b ,Pass,YES 
STU-1065,Kiran,civil,01-07-2023,seventy,forty,55,A,pass ,
STU-1066,divya ,civil,01-07-2023,85%,50,,A,pass ,YES 
STU-1067,Meena,Computer Science,,90%,45,60,,,
STU-1068,divya ,computer science ,01-06-2023,seventy,38,60,,pass ,No
STU-1069,,,01-07-2023,,,55,A+,Pass,YES 
STU-1070,Aarav,,15-08-2023,seventy,38,55,A,,No
STU-1071,Meena,,01-07-2023,seventy,38,60,A+,FAIL,Yes
STU-1072,Kiran,Mechanical,15-08-2023,,38,,A,pass ,Yes
STU-1073,divya ,Computer Science,01-06-2023,85%,forty,sixty,,FAIL,No
STU-1074,Meena,,15-08-2023,90%,,60,A+,Pass,No
,Meena,computer science ,,,50,,A+,,Yes
STU-1076,,,15-08-2023,85%,forty,60,,FAIL,YES 
STU-1077,Kiran,computer science ,01-07-2023,,,,B,pass ,Yes
STU-1078,Aarav,computer science ,,seventy,,60,A,,
STU-1079,divya ,Mechanical,01-07-2023,seventy,forty,sixty,,pass ,No
,,computer science ,,85%,38,55,C,Pass,YES 
STU-1081,Meena,Mechanical,01-07-2023,,50,sixty,b ,Pass,
STU-1082,Kiran,civil,,,38,60,A,pass ,No
,,computer science ,01-07-2023,75,38,55,A,FAIL,YES 
STU-1084,Meena,ECE,01-06-2023,seventy,,55,C,,
STU-1085,,,15-08-2023,seventy,45,,A,,No
STU-1086,divya ,computer science ,,90%,45,,C,Pass,No
STU-1087,,computer science ,15-08-2023,90%,,sixty,B,Pass,Yes
STU-1088,Aarav,computer science ,15-08-2023,seventy,,,C,pass ,No
STU-1089,Aarav,computer science ,,90%,45,,A+,FAIL,Yes
STU-1090,,civil,,90%,38,55,A+,pass ,No
STU-1091,divya ,civil,15-08-2023,75,38,sixty,C,FAIL,Yes
STU-1092,Aarav,Mechanical,,,45,55,C,,YES 
STU-1093,,computer science ,15-08-2023,75,,sixty,B,pass ,No
STU-1094,Aarav,civil,01-07-2023,90%,50,sixty,C,Pass,
STU-1095,Meena,computer science ,,75,,60,,,
STU-1096,divya ,,01-07-2023,85%,38,sixty,B,Pass,Yes
STU-1097,Meena,,15-08-2023,85%,,,C,FAIL,
STU-1098,Meena,Computer Science,01-06-2023,75,45,55,A,Pass,No
STU-1099,Meena,,01-07-2023,90%,50,60,b ,FAIL,YES 
STU-1100,,Computer Science,01-07-2023,85%,45,sixty,,,
